algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,phi1,phi2,smin,smax,weight,mut_std,mut_indpb,mut_prob,temp,alpha
MuPlusLambda,150.0,192.0,0.84,0.16000000000000003,0.41,0.8,0.0,0.32,0.81,100,119,107,12,0,0,210,0.0,226,,,,,,,,,,
MuPlusLambda,152.0,234.0,0.07,0.9299999999999999,0.58,0.06,0.0,1.14,0.3,100,119,107,12,0,0,210,0.0,248,,,,,,,,,,
StochasticHillClimb,36.0,,,,0.49,,,,,100,119,107,12,0,0,210,0.0,282,,,,,,0.98,,0.73,,
SimulatedAnnealing,2.0,,,,0.57,,,,,100,119,107,12,0,0,210,0.0,374,,,,,,0.59,,0.16,68.28,0.89
MuPlusLambda,225.0,159.0,0.79,0.20999999999999996,0.23,0.33,0.0,1.51,0.94,100,119,107,12,0,0,210,0.0,203,,,,,,,,,,
SimulatedAnnealing,36.0,,,,0.46,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,1.1,,0.17,30.52,0.93
PlantPropagation,47.0,274.0,,,0.75,,,,,100,119,107,12,0,0,210,6.0,293,,,,,,0.73,0.79,,,
PlantPropagation,281.0,99.0,,,0.52,,,,,100,119,107,12,0,0,210,0.0,294,,,,,,1.37,0.29,,,
SimulatedAnnealing,46.0,,,,0.62,,,,,100,119,107,12,0,0,210,0.0,339,,,,,,1.88,,0.65,54.9,0.84
SimulatedAnnealing,39.0,,,,0.8,,,,,100,119,107,12,0,0,210,0.0,298,,,,,,1.28,,0.53,35.91,0.91
StochasticHillClimb,43.0,,,,0.05,,,,,100,119,107,12,0,0,210,0.0,256,,,,,,1.27,,0.08,,
MuPlusLambda,298.0,241.0,0.38,0.62,0.16,0.97,0.0,1.61,0.55,100,119,107,12,0,0,210,0.0,246,,,,,,,,,,
ParticleSwarm,193.0,,,,0.27,,,,,100,119,107,12,0,0,210,0.0,203,6.01,8.46,-1.81,1.81,0.88,,,,,
PlantPropagation,78.0,271.0,,,0.02,,,,,100,119,107,12,0,0,210,228.0,278,,,,,,1.8,0.78,,,
PlantPropagation,128.0,186.0,,,0.14,,,,,100,119,107,12,0,0,210,64.0,310,,,,,,0.62,0.66,,,
PlantPropagation,217.0,11.0,,,0.37,,,,,100,119,107,12,0,0,210,0.0,317,,,,,,1.9,0.4,,,
SimulatedAnnealing,27.0,,,,0.63,,,,,100,119,107,12,0,0,210,0.0,296,,,,,,0.83,,0.12,165.92,0.86
StochasticHillClimb,27.0,,,,0.72,,,,,100,119,107,12,0,0,210,0.0,270,,,,,,1.59,,0.51,,
SimulatedAnnealing,50.0,,,,0.24,,,,,100,119,107,12,0,0,210,0.0,349,,,,,,1.36,,0.89,77.94,0.81
StochasticHillClimb,6.0,,,,0.26,,,,,100,119,107,12,0,0,210,55.0,375,,,,,,0.31,,0.17,,
PlantPropagation,234.0,12.0,,,0.33,,,,,100,119,107,12,0,0,210,0.0,313,,,,,,1.78,0.51,,,
StochasticHillClimb,18.0,,,,0.92,,,,,100,119,107,12,0,0,210,0.0,252,,,,,,1.38,,0.69,,
StochasticHillClimb,5.0,,,,0.99,,,,,100,119,107,12,0,0,210,0.0,237,,,,,,1.46,,0.96,,
ParticleSwarm,238.0,,,,0.26,,,,,100,119,107,12,0,0,210,0.0,229,8.66,9.29,-1.62,1.62,0.28,,,,,
SimulatedAnnealing,35.0,,,,0.15,,,,,100,119,107,12,0,0,210,0.0,332,,,,,,1.75,,0.07,121.07,0.84
MuPlusLambda,130.0,279.0,0.3,0.7,0.04,0.41,0.0,0.45,0.11,100,119,107,12,0,0,210,0.0,222,,,,,,,,,,
ParticleSwarm,65.0,,,,0.08,,,,,100,119,107,12,0,0,210,0.0,248,9.49,2.41,-1.13,1.13,0.43,,,,,
StochasticHillClimb,47.0,,,,0.52,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,1.81,,0.94,,
SimulatedAnnealing,45.0,,,,0.93,,,,,100,119,107,12,0,0,210,0.0,294,,,,,,0.55,,0.52,40.6,0.83
SimulatedAnnealing,13.0,,,,0.31,,,,,100,119,107,12,0,0,210,0.0,380,,,,,,1.22,,0.57,198.11,0.96
PlantPropagation,150.0,100.0,,,0.8,,,,,100,119,107,12,0,0,210,0.0,276,,,,,,1.69,0.25,,,
MuPlusLambda,80.0,283.0,0.02,0.98,0.05,0.22,0.0,0.28,0.67,100,119,107,12,0,0,210,0.0,241,,,,,,,,,,
StochasticHillClimb,24.0,,,,0.25,,,,,100,119,107,12,0,0,210,0.0,270,,,,,,1.16,,0.32,,
SimulatedAnnealing,37.0,,,,0.99,,,,,100,119,107,12,0,0,210,0.0,295,,,,,,0.62,,0.94,13.31,0.88
ParticleSwarm,252.0,,,,0.64,,,,,100,119,107,12,0,0,210,0.0,203,3.71,9.67,-1.33,1.33,0.7,,,,,
PlantPropagation,206.0,111.0,,,0.61,,,,,100,119,107,12,0,0,210,0.0,287,,,,,,0.87,0.42,,,
SimulatedAnnealing,5.0,,,,0.95,,,,,100,119,107,12,0,0,210,9.0,356,,,,,,0.28,,0.59,124.1,0.9
ParticleSwarm,97.0,,,,0.15,,,,,100,119,107,12,0,0,210,0.0,229,2.15,2.35,-1.01,1.01,0.61,,,,,
PlantPropagation,93.0,131.0,,,0.81,,,,,100,119,107,12,0,0,210,0.0,308,,,,,,1.29,0.51,,,
SimulatedAnnealing,45.0,,,,0.88,,,,,100,119,107,12,0,0,210,0.0,373,,,,,,0.13,,0.81,61.52,0.99
PlantPropagation,52.0,229.0,,,0.31,,,,,100,119,107,12,0,0,210,50.0,315,,,,,,1.31,0.55,,,
StochasticHillClimb,29.0,,,,0.89,,,,,100,119,107,12,0,0,210,0.0,245,,,,,,0.84,,0.32,,
ParticleSwarm,35.0,,,,0.58,,,,,100,119,107,12,0,0,210,0.0,255,7.29,0.78,-0.82,0.82,0.29,,,,,
MuPlusLambda,15.0,126.0,0.85,0.15000000000000002,0.38,0.66,0.0,0.94,0.37,100,119,107,12,0,0,210,0.0,240,,,,,,,,,,
PlantPropagation,79.0,208.0,,,0.85,,,,,100,119,107,12,0,0,210,0.0,287,,,,,,1.63,0.15,,,
SimulatedAnnealing,40.0,,,,0.91,,,,,100,119,107,12,0,0,210,0.0,314,,,,,,0.58,,0.36,101.31,0.92
StochasticHillClimb,11.0,,,,0.73,,,,,100,119,107,12,0,0,210,0.0,435,,,,,,0.42,,0.22,,
SimulatedAnnealing,33.0,,,,0.81,,,,,100,119,107,12,0,0,210,0.0,315,,,,,,1.74,,0.07,37.27,0.93
PlantPropagation,130.0,38.0,,,0.72,,,,,100,119,107,12,0,0,210,0.0,293,,,,,,1.52,0.88,,,
PlantPropagation,109.0,135.0,,,0.78,,,,,100,119,107,12,0,0,210,0.0,298,,,,,,1.31,0.67,,,
ParticleSwarm,27.0,,,,0.31,,,,,100,119,107,12,0,0,210,0.0,275,2.24,7.74,-1.24,1.24,0.17,,,,,
ParticleSwarm,266.0,,,,0.2,,,,,100,119,107,12,0,0,210,0.0,193,3.21,1.24,-1.91,1.91,0.56,,,,,
SimulatedAnnealing,19.0,,,,0.77,,,,,100,119,107,12,0,0,210,0.0,333,,,,,,0.95,,0.59,125.58,0.87
ParticleSwarm,129.0,,,,0.29,,,,,100,119,107,12,0,0,210,0.0,203,0.94,6.97,-0.91,0.91,0.87,,,,,
PlantPropagation,255.0,185.0,,,0.2,,,,,100,119,107,12,0,0,210,56.0,357,,,,,,1.56,0.99,,,
ParticleSwarm,137.0,,,,0.9,,,,,100,119,107,12,0,0,210,0.0,341,7.62,1.14,-0.44,0.44,0.3,,,,,
StochasticHillClimb,28.0,,,,0.12,,,,,100,119,107,12,0,0,210,0.0,299,,,,,,1.1,,0.6,,
PlantPropagation,151.0,18.0,,,0.35,,,,,100,119,107,12,0,0,210,2.0,329,,,,,,0.78,0.34,,,
PlantPropagation,120.0,51.0,,,0.03,,,,,100,119,107,12,0,0,210,107.0,298,,,,,,0.53,0.39,,,
SimulatedAnnealing,43.0,,,,0.04,,,,,100,119,107,12,0,0,210,0.0,460,,,,,,0.72,,0.75,6.12,0.85
StochasticHillClimb,37.0,,,,0.74,,,,,100,119,107,12,0,0,210,0.0,268,,,,,,1.87,,0.57,,
StochasticHillClimb,19.0,,,,0.32,,,,,100,119,107,12,0,0,210,0.0,268,,,,,,0.71,,0.95,,
ParticleSwarm,279.0,,,,0.56,,,,,100,119,107,12,0,0,210,0.0,255,9.67,0.28,-1.65,1.65,0.5,,,,,
ParticleSwarm,77.0,,,,0.96,,,,,100,119,107,12,0,0,210,0.0,185,5.18,2.51,-0.8,0.8,0.86,,,,,
StochasticHillClimb,49.0,,,,0.13,,,,,100,119,107,12,0,0,210,5.0,368,,,,,,0.24,,0.87,,
ParticleSwarm,61.0,,,,0.38,,,,,100,119,107,12,0,0,210,0.0,222,3.87,2.2,-1.6,1.6,0.46,,,,,
ParticleSwarm,18.0,,,,0.02,,,,,100,119,107,12,0,0,210,14.0,269,3.75,5.14,-1.02,1.02,0.2,,,,,
MuPlusLambda,24.0,231.0,0.02,0.98,0.38,0.07,0.0,1.22,0.03,100,119,107,12,0,0,210,0.0,250,,,,,,,,,,
SimulatedAnnealing,47.0,,,,0.65,,,,,100,119,107,12,0,0,210,0.0,301,,,,,,0.57,,0.75,47.7,0.96
ParticleSwarm,222.0,,,,0.82,,,,,100,119,107,12,0,0,210,0.0,188,7.27,6.48,-1.75,1.75,0.86,,,,,
StochasticHillClimb,25.0,,,,0.85,,,,,100,119,107,12,0,0,210,0.0,241,,,,,,1.04,,0.33,,
MuPlusLambda,226.0,216.0,0.74,0.26,0.68,0.11,0.0,0.53,0.02,100,119,107,12,0,0,210,0.0,237,,,,,,,,,,
MuPlusLambda,264.0,157.0,0.85,0.15000000000000002,0.04,0.92,0.0,1.03,0.73,100,119,107,12,0,0,210,0.0,185,,,,,,,,,,
SimulatedAnnealing,41.0,,,,0.36,,,,,100,119,107,12,0,0,210,0.0,304,,,,,,0.73,,0.33,51.7,0.92
StochasticHillClimb,37.0,,,,0.26,,,,,100,119,107,12,0,0,210,0.0,307,,,,,,0.23,,0.65,,
StochasticHillClimb,21.0,,,,0.56,,,,,100,119,107,12,0,0,210,0.0,251,,,,,,0.69,,0.18,,
ParticleSwarm,246.0,,,,0.89,,,,,100,119,107,12,0,0,210,0.0,188,6.72,4.03,-1.68,1.68,0.99,,,,,
StochasticHillClimb,32.0,,,,0.35,,,,,100,119,107,12,0,0,210,0.0,321,,,,,,1.67,,0.8,,
PlantPropagation,54.0,255.0,,,0.85,,,,,100,119,107,12,0,0,210,0.0,308,,,,,,0.86,0.02,,,
StochasticHillClimb,43.0,,,,0.01,,,,,100,119,107,12,0,0,210,1.0,328,,,,,,0.88,,0.68,,
ParticleSwarm,256.0,,,,0.35,,,,,100,119,107,12,0,0,210,0.0,337,7.68,8.71,-0.3,0.3,0.31,,,,,
ParticleSwarm,248.0,,,,0.34,,,,,100,119,107,12,0,0,210,0.0,219,2.77,5.44,-1.83,1.83,0.83,,,,,
ParticleSwarm,241.0,,,,0.81,,,,,100,119,107,12,0,0,210,0.0,365,3.73,8.06,-0.31,0.31,0.11,,,,,
MuPlusLambda,267.0,136.0,0.96,0.040000000000000036,0.87,0.86,0.0,0.4,0.23,100,119,107,12,0,0,210,0.0,256,,,,,,,,,,
ParticleSwarm,153.0,,,,0.4,,,,,100,119,107,12,0,0,210,0.0,302,0.99,2.68,-0.38,0.38,0.29,,,,,
ParticleSwarm,188.0,,,,0.55,,,,,100,119,107,12,0,0,210,0.0,190,4.03,8.42,-1.67,1.67,0.43,,,,,
StochasticHillClimb,5.0,,,,0.54,,,,,100,119,107,12,0,0,210,0.0,271,,,,,,1.64,,0.02,,
PlantPropagation,259.0,84.0,,,0.26,,,,,100,119,107,12,0,0,210,28.0,322,,,,,,0.3,0.43,,,
MuPlusLambda,98.0,79.0,0.2,0.8,0.92,0.27,0.0,1.06,0.53,100,119,107,12,0,0,210,0.0,224,,,,,,,,,,
StochasticHillClimb,8.0,,,,0.3,,,,,100,119,107,12,0,0,210,36.0,343,,,,,,0.27,,0.41,,
MuPlusLambda,216.0,263.0,0.7,0.30000000000000004,0.21,0.84,0.0,1.21,0.13,100,119,107,12,0,0,210,0.0,207,,,,,,,,,,
PlantPropagation,145.0,146.0,,,0.57,,,,,100,119,107,12,0,0,210,0.0,332,,,,,,1.05,0.5,,,
SimulatedAnnealing,5.0,,,,0.19,,,,,100,119,107,12,0,0,210,0.0,462,,,,,,1.19,,0.59,41.86,0.89
ParticleSwarm,215.0,,,,0.5,,,,,100,119,107,12,0,0,210,0.0,223,2.09,8.96,-1.05,1.05,0.85,,,,,
SimulatedAnnealing,37.0,,,,0.2,,,,,100,119,107,12,0,0,210,0.0,375,,,,,,1.99,,0.21,143.54,0.88
StochasticHillClimb,41.0,,,,0.15,,,,,100,119,107,12,0,0,210,0.0,323,,,,,,1.22,,0.72,,
PlantPropagation,148.0,32.0,,,0.75,,,,,100,119,107,12,0,0,210,0.0,389,,,,,,0.69,0.16,,,
PlantPropagation,81.0,108.0,,,0.22,,,,,100,119,107,12,0,0,210,0.0,322,,,,,,1.96,0.67,,,
ParticleSwarm,262.0,,,,0.98,,,,,100,119,107,12,0,0,210,0.0,236,8.84,0.26,-1.02,1.02,0.54,,,,,
StochasticHillClimb,11.0,,,,0.75,,,,,100,119,107,12,0,0,210,0.0,418,,,,,,0.39,,0.66,,
PlantPropagation,267.0,38.0,,,0.84,,,,,100,119,107,12,0,0,210,0.0,276,,,,,,1.79,0.37,,,
PlantPropagation,21.0,43.0,,,0.33,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,0.58,0.32,,,
StochasticHillClimb,44.0,,,,0.91,,,,,100,119,107,12,0,0,210,0.0,263,,,,,,1.98,,0.59,,
StochasticHillClimb,18.0,,,,0.24,,,,,100,119,107,12,0,0,210,0.0,308,,,,,,1.6,,0.63,,
MuPlusLambda,281.0,183.0,0.22,0.78,0.51,0.65,0.0,1.55,0.01,100,119,107,12,0,0,210,0.0,254,,,,,,,,,,
PlantPropagation,130.0,86.0,,,0.03,,,,,100,119,107,12,0,0,210,110.0,288,,,,,,1.09,0.69,,,
SimulatedAnnealing,43.0,,,,0.24,,,,,100,119,107,12,0,0,210,0.0,425,,,,,,1.61,,0.99,182.83,0.81
StochasticHillClimb,16.0,,,,0.97,,,,,100,119,107,12,0,0,210,0.0,387,,,,,,0.34,,0.18,,
SimulatedAnnealing,48.0,,,,0.94,,,,,100,119,107,12,0,0,210,0.0,301,,,,,,1.08,,0.7,40.55,0.98
SimulatedAnnealing,35.0,,,,0.88,,,,,100,119,107,12,0,0,210,0.0,315,,,,,,0.9,,0.04,149.7,0.81
ParticleSwarm,202.0,,,,0.15,,,,,100,119,107,12,0,0,210,0.0,215,9.28,8.22,-0.68,0.68,0.87,,,,,
StochasticHillClimb,43.0,,,,0.04,,,,,100,119,107,12,0,0,210,64.0,322,,,,,,0.47,,0.25,,
SimulatedAnnealing,46.0,,,,0.41,,,,,100,119,107,12,0,0,210,0.0,324,,,,,,1.28,,0.18,25.93,0.87
ParticleSwarm,77.0,,,,0.67,,,,,100,119,107,12,0,0,210,0.0,192,7.24,2.95,-1.01,1.01,0.72,,,,,
ParticleSwarm,258.0,,,,0.73,,,,,100,119,107,12,0,0,210,0.0,226,0.23,4.29,-1.81,1.81,0.98,,,,,
ParticleSwarm,232.0,,,,0.76,,,,,100,119,107,12,0,0,210,0.0,208,9.9,2.01,-1.3,1.3,0.82,,,,,
StochasticHillClimb,14.0,,,,0.43,,,,,100,119,107,12,0,0,210,0.0,277,,,,,,1.21,,0.03,,
MuPlusLambda,229.0,81.0,0.59,0.41000000000000003,0.13,0.49,0.0,1.09,0.21,100,119,107,12,0,0,210,0.0,196,,,,,,,,,,
StochasticHillClimb,45.0,,,,0.05,,,,,100,119,107,12,0,0,210,0.0,293,,,,,,1.69,,0.05,,
SimulatedAnnealing,27.0,,,,0.87,,,,,100,119,107,12,0,0,210,0.0,304,,,,,,1.29,,0.8,72.61,0.92
MuPlusLambda,251.0,283.0,0.28,0.72,0.07,0.57,0.0,0.93,0.8,100,119,107,12,0,0,210,0.0,279,,,,,,,,,,
PlantPropagation,43.0,20.0,,,0.68,,,,,100,119,107,12,0,0,210,0.0,258,,,,,,1.01,0.58,,,
PlantPropagation,235.0,65.0,,,0.45,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,1.52,0.09,,,
MuPlusLambda,93.0,64.0,0.79,0.20999999999999996,0.34,0.12,0.0,1.1,0.41,100,119,107,12,0,0,210,0.0,247,,,,,,,,,,
ParticleSwarm,170.0,,,,0.96,,,,,100,119,107,12,0,0,210,0.0,329,3.39,6.45,-0.24,0.24,0.54,,,,,
ParticleSwarm,69.0,,,,0.71,,,,,100,119,107,12,0,0,210,0.0,328,9.61,7.56,-0.19,0.19,0.24,,,,,
StochasticHillClimb,46.0,,,,0.99,,,,,100,119,107,12,0,0,210,0.0,257,,,,,,1.97,,0.44,,
SimulatedAnnealing,19.0,,,,0.09,,,,,100,119,107,12,0,0,210,0.0,513,,,,,,1.59,,0.58,190.95,0.96
ParticleSwarm,192.0,,,,0.9,,,,,100,119,107,12,0,0,210,0.0,183,6.07,4.38,-1.53,1.53,0.47,,,,,
MuPlusLambda,15.0,241.0,0.85,0.15000000000000002,0.41,0.39,0.0,0.24,0.91,100,119,107,12,0,0,210,0.0,263,,,,,,,,,,
MuPlusLambda,234.0,103.0,0.01,0.99,0.39,0.4,0.0,0.55,0.37,100,119,107,12,0,0,210,0.0,265,,,,,,,,,,
MuPlusLambda,250.0,76.0,0.04,0.96,0.14,0.33,0.0,0.67,0.97,100,119,107,12,0,0,210,0.0,232,,,,,,,,,,
PlantPropagation,171.0,266.0,,,0.1,,,,,100,119,107,12,0,0,210,62.0,338,,,,,,0.48,0.15,,,
PlantPropagation,237.0,116.0,,,0.55,,,,,100,119,107,12,0,0,210,14.0,305,,,,,,0.34,0.99,,,
PlantPropagation,101.0,268.0,,,0.22,,,,,100,119,107,12,0,0,210,4.0,314,,,,,,1.11,0.01,,,
SimulatedAnnealing,50.0,,,,0.75,,,,,100,119,107,12,0,0,210,0.0,316,,,,,,1.97,,0.15,175.79,0.92
ParticleSwarm,163.0,,,,0.88,,,,,100,119,107,12,0,0,210,0.0,240,8.28,2.97,-1.94,1.94,0.24,,,,,
StochasticHillClimb,9.0,,,,0.8,,,,,100,119,107,12,0,0,210,0.0,332,,,,,,0.3,,0.17,,
PlantPropagation,96.0,266.0,,,0.96,,,,,100,119,107,12,0,0,210,0.0,302,,,,,,1.77,0.33,,,
PlantPropagation,87.0,150.0,,,0.28,,,,,100,119,107,12,0,0,210,0.0,362,,,,,,0.75,0.87,,,
StochasticHillClimb,28.0,,,,0.56,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,1.73,,0.85,,
ParticleSwarm,126.0,,,,0.88,,,,,100,119,107,12,0,0,210,0.0,318,5.84,1.69,-0.37,0.37,0.11,,,,,
PlantPropagation,98.0,203.0,,,0.07,,,,,100,119,107,12,0,0,210,130.0,291,,,,,,0.24,0.84,,,
MuPlusLambda,71.0,59.0,0.06,0.94,0.07,0.78,0.0,1.38,0.61,100,119,107,12,0,0,210,0.0,218,,,,,,,,,,
MuPlusLambda,55.0,219.0,0.28,0.72,0.35,0.09,0.0,0.2,0.55,100,119,107,12,0,0,210,0.0,271,,,,,,,,,,
MuPlusLambda,20.0,247.0,0.39,0.61,0.11,0.77,0.0,0.51,0.32,100,119,107,12,0,0,210,0.0,230,,,,,,,,,,
StochasticHillClimb,22.0,,,,0.7,,,,,100,119,107,12,0,0,210,0.0,399,,,,,,0.21,,0.81,,
PlantPropagation,239.0,243.0,,,0.84,,,,,100,119,107,12,0,0,210,0.0,305,,,,,,0.23,0.13,,,
MuPlusLambda,133.0,208.0,0.31,0.69,0.18,1.0,0.0,1.83,0.05,100,119,107,12,0,0,210,0.0,262,,,,,,,,,,
PlantPropagation,47.0,41.0,,,0.0,,,,,100,119,107,12,0,0,210,702.0,284,,,,,,1.3,0.97,,,
StochasticHillClimb,27.0,,,,0.29,,,,,100,119,107,12,0,0,210,13.0,324,,,,,,0.1,,0.68,,
MuPlusLambda,51.0,250.0,0.88,0.12,0.12,0.48,0.0,0.87,0.8,100,119,107,12,0,0,210,0.0,210,,,,,,,,,,
SimulatedAnnealing,39.0,,,,0.12,,,,,100,119,107,12,0,0,210,0.0,400,,,,,,1.26,,0.89,154.72,0.82
ParticleSwarm,296.0,,,,0.71,,,,,100,119,107,12,0,0,210,0.0,200,7.89,9.5,-1.43,1.43,0.62,,,,,
StochasticHillClimb,10.0,,,,0.37,,,,,100,119,107,12,0,0,210,0.0,224,,,,,,0.95,,0.22,,
ParticleSwarm,161.0,,,,0.63,,,,,100,119,107,12,0,0,210,0.0,200,5.76,5.0,-1.43,1.43,0.7,,,,,
SimulatedAnnealing,24.0,,,,0.44,,,,,100,119,107,12,0,0,210,0.0,399,,,,,,0.15,,0.2,20.07,0.88
PlantPropagation,30.0,72.0,,,0.89,,,,,100,119,107,12,0,0,210,8.0,309,,,,,,0.16,0.92,,,
PlantPropagation,291.0,83.0,,,0.46,,,,,100,119,107,12,0,0,210,2.0,309,,,,,,0.69,0.36,,,
ParticleSwarm,68.0,,,,0.58,,,,,100,119,107,12,0,0,210,0.0,350,2.44,7.9,-0.18,0.18,0.35,,,,,
MuPlusLambda,206.0,150.0,0.44,0.56,0.87,0.33,0.0,1.27,0.28,100,119,107,12,0,0,210,0.0,220,,,,,,,,,,
PlantPropagation,99.0,193.0,,,0.5,,,,,100,119,107,12,0,0,210,0.0,296,,,,,,1.01,0.28,,,
ParticleSwarm,32.0,,,,0.7,,,,,100,119,107,12,0,0,210,0.0,178,6.29,3.28,-1.41,1.41,0.68,,,,,
SimulatedAnnealing,36.0,,,,0.77,,,,,100,119,107,12,0,0,210,0.0,311,,,,,,0.57,,0.93,15.41,0.92
ParticleSwarm,285.0,,,,0.27,,,,,100,119,107,12,0,0,210,0.0,256,3.5,0.68,-1.17,1.17,0.24,,,,,
StochasticHillClimb,15.0,,,,0.66,,,,,100,119,107,12,0,0,210,27.0,442,,,,,,0.33,,0.96,,
MuPlusLambda,158.0,290.0,0.36,0.64,0.77,0.68,0.0,1.53,0.16,100,119,107,12,0,0,210,0.0,212,,,,,,,,,,
StochasticHillClimb,32.0,,,,0.18,,,,,100,119,107,12,0,0,210,31.0,324,,,,,,0.4,,0.76,,
MuPlusLambda,235.0,216.0,0.17,0.83,0.0,0.56,0.0,1.24,0.49,100,119,107,12,0,0,210,0.0,181,,,,,,,,,,
SimulatedAnnealing,38.0,,,,0.4,,,,,100,119,107,12,0,0,210,0.0,343,,,,,,1.12,,0.68,159.39,0.85
ParticleSwarm,233.0,,,,0.8,,,,,100,119,107,12,0,0,210,0.0,231,9.52,0.57,-1.71,1.71,0.12,,,,,
PlantPropagation,14.0,137.0,,,0.85,,,,,100,119,107,12,0,0,210,0.0,312,,,,,,1.96,0.59,,,
PlantPropagation,35.0,273.0,,,0.48,,,,,100,119,107,12,0,0,210,0.0,313,,,,,,1.4,0.58,,,
PlantPropagation,36.0,207.0,,,0.86,,,,,100,119,107,12,0,0,210,18.0,297,,,,,,0.55,0.07,,,
StochasticHillClimb,14.0,,,,0.68,,,,,100,119,107,12,0,0,210,0.0,224,,,,,,0.81,,0.43,,
StochasticHillClimb,16.0,,,,0.28,,,,,100,119,107,12,0,0,210,0.0,267,,,,,,1.24,,0.52,,
ParticleSwarm,67.0,,,,0.43,,,,,100,119,107,12,0,0,210,0.0,188,6.37,5.87,-0.64,0.64,0.85,,,,,
StochasticHillClimb,41.0,,,,0.13,,,,,100,119,107,12,0,0,210,0.0,334,,,,,,1.58,,0.84,,
ParticleSwarm,221.0,,,,0.28,,,,,100,119,107,12,0,0,210,0.0,324,8.94,0.78,-0.26,0.26,0.54,,,,,
PlantPropagation,161.0,234.0,,,0.28,,,,,100,119,107,12,0,0,210,3.0,312,,,,,,1.25,0.04,,,
PlantPropagation,245.0,261.0,,,0.03,,,,,100,119,107,12,0,0,210,684.0,303,,,,,,1.18,0.36,,,
ParticleSwarm,267.0,,,,0.41,,,,,100,119,107,12,0,0,210,0.0,268,0.88,2.18,-0.74,0.74,0.39,,,,,
SimulatedAnnealing,43.0,,,,0.15,,,,,100,119,107,12,0,0,210,0.0,297,,,,,,0.63,,0.1,64.41,0.99
PlantPropagation,168.0,152.0,,,0.91,,,,,100,119,107,12,0,0,210,0.0,295,,,,,,0.61,0.38,,,
ParticleSwarm,220.0,,,,0.69,,,,,100,119,107,12,0,0,210,0.0,205,4.37,0.76,-1.37,1.37,0.98,,,,,
StochasticHillClimb,26.0,,,,0.07,,,,,100,119,107,12,0,0,210,56.0,326,,,,,,0.11,,0.17,,
ParticleSwarm,282.0,,,,0.58,,,,,100,119,107,12,0,0,210,0.0,366,1.32,6.84,-0.31,0.31,0.29,,,,,
SimulatedAnnealing,43.0,,,,0.57,,,,,100,119,107,12,0,0,210,0.0,404,,,,,,0.1,,0.56,75.71,0.85
MuPlusLambda,12.0,21.0,0.66,0.33999999999999997,0.44,0.1,0.0,1.84,0.98,100,119,107,12,0,0,210,0.0,263,,,,,,,,,,
PlantPropagation,299.0,125.0,,,0.66,,,,,100,119,107,12,0,0,210,0.0,276,,,,,,1.64,0.21,,,
ParticleSwarm,62.0,,,,0.06,,,,,100,119,107,12,0,0,210,0.0,273,4.04,0.65,-1.24,1.24,0.51,,,,,
SimulatedAnnealing,36.0,,,,0.69,,,,,100,119,107,12,0,0,210,8.0,351,,,,,,0.46,,0.76,83.62,0.82
SimulatedAnnealing,45.0,,,,0.86,,,,,100,119,107,12,0,0,210,0.0,317,,,,,,1.21,,0.63,86.37,0.94
MuPlusLambda,53.0,263.0,0.27,0.73,0.28,0.87,0.0,1.25,0.94,100,119,107,12,0,0,210,0.0,230,,,,,,,,,,
MuPlusLambda,174.0,71.0,0.28,0.72,0.86,0.97,0.0,1.76,0.34,100,119,107,12,0,0,210,0.0,228,,,,,,,,,,
SimulatedAnnealing,16.0,,,,0.0,,,,,100,119,107,12,0,0,210,1413.0,317,,,,,,1.08,,0.82,118.86,0.82
PlantPropagation,155.0,22.0,,,0.12,,,,,100,119,107,12,0,0,210,1.0,364,,,,,,1.56,0.32,,,
StochasticHillClimb,3.0,,,,0.31,,,,,100,119,107,12,0,0,210,0.0,244,,,,,,1.31,,0.85,,
MuPlusLambda,210.0,134.0,0.95,0.050000000000000044,0.95,0.46,0.0,1.75,0.8,100,119,107,12,0,0,210,0.0,228,,,,,,,,,,
StochasticHillClimb,16.0,,,,0.9,,,,,100,119,107,12,0,0,210,9.0,351,,,,,,0.31,,0.09,,
StochasticHillClimb,6.0,,,,0.69,,,,,100,119,107,12,0,0,210,6.0,327,,,,,,0.13,,0.29,,
StochasticHillClimb,13.0,,,,0.09,,,,,100,119,107,12,0,0,210,0.0,218,,,,,,0.73,,0.44,,
ParticleSwarm,278.0,,,,0.29,,,,,100,119,107,12,0,0,210,0.0,254,7.37,9.51,-0.68,0.68,0.16,,,,,
ParticleSwarm,144.0,,,,0.43,,,,,100,119,107,12,0,0,210,0.0,334,4.39,1.95,-0.12,0.12,0.82,,,,,
ParticleSwarm,202.0,,,,0.81,,,,,100,119,107,12,0,0,210,0.0,251,9.58,2.38,-0.98,0.98,0.5,,,,,
PlantPropagation,78.0,121.0,,,0.83,,,,,100,119,107,12,0,0,210,0.0,273,,,,,,1.43,0.04,,,
