algorithm,mu,lambda_,mut_std,mut_indpb,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,mut_prob,temp,alpha,phi1,phi2,smin,smax,weight,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb
MuPlusLambda,200.0,200.0,,,0.0,201,227,225,2,0,14577.0,347,1203.0,291,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,201,227,225,2,0,14577.0,347,645.0,679,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,201,227,225,2,0,14577.0,347,73.0,564,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,438,477,468,9,0,10664.0,423,492.0,341,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,438,477,468,9,0,10664.0,423,0.0,477,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,438,477,468,9,0,10664.0,423,0.0,540,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,438,477,468,9,0,10664.0,423,0.0,1082,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,438,477,468,9,0,10664.0,423,0.0,580,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,438,477,468,9,0,10664.0,423,0.0,1016,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,438,477,468,9,0,10664.0,423,0.0,451,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,438,477,468,9,0,10664.0,423,0.0,478,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,438,477,468,9,0,10664.0,423,345.0,332,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,438,477,468,9,0,10664.0,423,2.0,611,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,351,518,507,11,0,617.0,522,0.0,630,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,351,518,507,11,0,617.0,522,233.0,478,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,351,518,507,11,0,617.0,522,0.0,668,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,351,518,507,11,0,617.0,522,0.0,1014,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,351,518,507,11,0,617.0,522,0.0,654,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,351,518,507,11,0,617.0,522,0.0,692,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,351,518,507,11,0,617.0,522,214.0,473,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,351,518,507,11,0,617.0,522,0.0,751,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,351,518,507,11,0,617.0,522,0.0,606,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,351,518,507,11,0,617.0,522,0.0,863,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,98,157,149,8,0,24.0,289,0.0,271,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,98,157,149,8,0,24.0,289,0.0,256,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,98,157,149,8,0,24.0,289,0.0,249,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,98,157,149,8,0,24.0,289,0.0,240,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,98,157,149,8,0,24.0,289,0.0,510,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,98,157,149,8,0,24.0,289,0.0,345,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,98,157,149,8,0,24.0,289,0.0,356,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,98,157,149,8,0,24.0,289,0.0,351,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,98,157,149,8,0,24.0,289,0.0,235,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,98,157,149,8,0,24.0,289,0.0,435,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,436,828,821,7,0,6197.0,447,40.0,646,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,436,828,821,7,0,6197.0,447,1319.0,423,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,436,828,821,7,0,6197.0,447,0.0,613,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,436,828,821,7,0,6197.0,447,0.0,1367,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,436,828,821,7,0,6197.0,447,0.0,1536,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,436,828,821,7,0,6197.0,447,0.0,814,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,436,828,821,7,0,6197.0,447,0.0,617,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,436,828,821,7,0,6197.0,447,0.0,744,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,436,828,821,7,0,6197.0,447,111.0,624,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,436,828,821,7,0,6197.0,447,2055.0,414,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,119,158,156,2,0,4592.0,351,289.0,545,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,119,158,156,2,0,4592.0,351,0.0,595,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,119,158,156,2,0,4592.0,351,84.0,602,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,119,158,156,2,0,4592.0,351,0.0,1513,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,119,158,156,2,0,4592.0,351,0.0,766,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,119,158,156,2,0,4592.0,351,537.0,349,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,119,158,156,2,0,4592.0,351,0.0,733,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,119,158,156,2,0,4592.0,351,0.0,1157,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,119,158,156,2,0,4592.0,351,441.0,354,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,119,158,156,2,0,4592.0,351,0.0,585,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,93,123,122,1,0,2702.0,331,0.0,737,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,93,123,122,1,0,2702.0,331,140.0,251,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,93,123,122,1,0,2702.0,331,0.0,352,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,93,123,122,1,0,2702.0,331,0.0,320,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,93,123,122,1,0,2702.0,331,0.0,271,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,93,123,122,1,0,2702.0,331,0.0,316,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,93,123,122,1,0,2702.0,331,36.0,254,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,93,123,122,1,0,2702.0,331,0.0,531,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,93,123,122,1,0,2702.0,331,0.0,407,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,93,123,122,1,0,2702.0,331,0.0,276,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,188,352,340,12,0,0.0,356,0.0,441,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,188,352,340,12,0,0.0,356,0.0,404,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,188,352,340,12,0,0.0,356,27.0,275,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
MuPlusLambda,200.0,200.0,,,0.0,188,352,340,12,0,0.0,356,22.0,299,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,188,352,340,12,0,0.0,356,0.0,335,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,188,352,340,12,0,0.0,356,0.0,652,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,188,352,340,12,0,0.0,356,0.0,567,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,188,352,340,12,0,0.0,356,0.0,436,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,188,352,340,12,0,0.0,356,0.0,336,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,188,352,340,12,0,0.0,356,0.0,701,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,80,140,130,10,0,0.0,193,0.0,268,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,80,140,130,10,0,0.0,193,0.0,374,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,80,140,130,10,0,0.0,193,0.0,180,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,80,140,130,10,0,0.0,193,0.0,227,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,80,140,130,10,0,0.0,193,0.0,170,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,80,140,130,10,0,0.0,193,0.0,258,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,80,140,130,10,0,0.0,193,0.0,179,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,80,140,130,10,0,0.0,193,0.0,511,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,80,140,130,10,0,0.0,193,0.0,152,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,80,140,130,10,0,0.0,193,0.0,248,0.4,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,97,118,114,4,0,2267.0,292,0.0,451,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,97,118,114,4,0,2267.0,292,0.0,1077,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,97,118,114,4,0,2267.0,292,499.0,246,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,97,118,114,4,0,2267.0,292,0.0,1164,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,97,118,114,4,0,2267.0,292,117.0,365,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,97,118,114,4,0,2267.0,292,710.0,265,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,97,118,114,4,0,2267.0,292,38.0,362,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,97,118,114,4,0,2267.0,292,0.0,570,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,97,118,114,4,0,2267.0,292,0.0,384,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,97,118,114,4,0,2267.0,292,0.0,471,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,227,427,408,19,0,205.0,670,0.0,621,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,227,427,408,19,0,205.0,670,0.0,758,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,227,427,408,19,0,205.0,670,0.0,543,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,227,427,408,19,0,205.0,670,27.0,521,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,227,427,408,19,0,205.0,670,0.0,694,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,227,427,408,19,0,205.0,670,0.0,982,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,227,427,408,19,0,205.0,670,0.0,552,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,227,427,408,19,0,205.0,670,0.0,746,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,227,427,408,19,0,205.0,670,154.0,531,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,227,427,408,19,0,205.0,670,0.0,803,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,181,325,323,2,0,1773.0,395,0.0,708,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,181,325,323,2,0,1773.0,395,0.0,421,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,181,325,323,2,0,1773.0,395,0.0,695,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,181,325,323,2,0,1773.0,395,0.0,488,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,181,325,323,2,0,1773.0,395,0.0,400,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,181,325,323,2,0,1773.0,395,0.0,396,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,181,325,323,2,0,1773.0,395,0.0,481,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,181,325,323,2,0,1773.0,395,54.0,347,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,181,325,323,2,0,1773.0,395,0.0,549,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,181,325,323,2,0,1773.0,395,28.0,338,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
MuPlusLambda,200.0,200.0,,,0.0,415,698,687,11,0,979.0,660,398.0,543,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,415,698,687,11,0,979.0,660,0.0,1256,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,415,698,687,11,0,979.0,660,0.0,692,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,415,698,687,11,0,979.0,660,0.0,1076,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,415,698,687,11,0,979.0,660,0.0,820,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,415,698,687,11,0,979.0,660,250.0,553,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,415,698,687,11,0,979.0,660,0.0,738,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,415,698,687,11,0,979.0,660,0.0,678,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,415,698,687,11,0,979.0,660,0.0,671,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,415,698,687,11,0,979.0,660,0.0,855,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,363,417,400,17,0,1837.0,659,229.0,585,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
MuPlusLambda,200.0,200.0,,,0.0,363,417,400,17,0,1837.0,659,257.0,582,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,363,417,400,17,0,1837.0,659,0.0,732,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,363,417,400,17,0,1837.0,659,0.0,676,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,363,417,400,17,0,1837.0,659,0.0,1905,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,363,417,400,17,0,1837.0,659,0.0,740,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,363,417,400,17,0,1837.0,659,0.0,752,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,363,417,400,17,0,1837.0,659,0.0,765,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,363,417,400,17,0,1837.0,659,0.0,979,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,363,417,400,17,0,1837.0,659,0.0,844,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,50,73,55,18,0,0.0,215,0.0,342,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,50,73,55,18,0,0.0,215,0.0,51,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,50,73,55,18,0,0.0,215,0.0,96,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,50,73,55,18,0,0.0,215,0.0,202,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,50,73,55,18,0,0.0,215,0.0,184,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,50,73,55,18,0,0.0,215,0.0,52,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,50,73,55,18,0,0.0,215,0.0,59,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,50,73,55,18,0,0.0,215,0.0,286,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,50,73,55,18,0,0.0,215,0.0,47,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,50,73,55,18,0,0.0,215,0.0,93,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,109,204,193,11,0,0.0,343,0.0,351,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,109,204,193,11,0,0.0,343,0.0,366,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,109,204,193,11,0,0.0,343,0.0,425,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,109,204,193,11,0,0.0,343,0.0,287,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,109,204,193,11,0,0.0,343,0.0,227,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,109,204,193,11,0,0.0,343,0.0,474,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,109,204,193,11,0,0.0,343,0.0,245,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,109,204,193,11,0,0.0,343,0.0,209,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,109,204,193,11,0,0.0,343,0.0,257,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,109,204,193,11,0,0.0,343,0.0,252,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,124,190,173,17,0,0.0,342,0.0,303,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,124,190,173,17,0,0.0,342,0.0,361,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,124,190,173,17,0,0.0,342,0.0,536,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,124,190,173,17,0,0.0,342,0.0,330,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,124,190,173,17,0,0.0,342,0.0,322,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,124,190,173,17,0,0.0,342,2.0,300,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,124,190,173,17,0,0.0,342,0.0,559,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,124,190,173,17,0,0.0,342,0.0,430,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,124,190,173,17,0,0.0,342,0.0,434,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,124,190,173,17,0,0.0,342,0.0,394,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,298,508,504,4,0,1939.0,392,0.0,782,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,298,508,504,4,0,1939.0,392,0.0,444,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,298,508,504,4,0,1939.0,392,0.0,513,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,298,508,504,4,0,1939.0,392,0.0,595,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,298,508,504,4,0,1939.0,392,160.0,367,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,298,508,504,4,0,1939.0,392,0.0,524,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,298,508,504,4,0,1939.0,392,0.0,456,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,298,508,504,4,0,1939.0,392,167.0,358,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,298,508,504,4,0,1939.0,392,0.0,728,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,298,508,504,4,0,1939.0,392,0.0,502,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,190,210,191,19,0,683.0,266,0.0,465,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,190,210,191,19,0,683.0,266,0.0,493,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,190,210,191,19,0,683.0,266,0.0,205,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,190,210,191,19,0,683.0,266,0.0,273,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,190,210,191,19,0,683.0,266,0.0,221,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,190,210,191,19,0,683.0,266,0.0,311,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,190,210,191,19,0,683.0,266,32.0,189,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,190,210,191,19,0,683.0,266,0.0,329,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,190,210,191,19,0,683.0,266,0.0,219,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,190,210,191,19,0,683.0,266,0.0,283,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,33,48,43,5,0,0.0,167,0.0,66,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,33,48,43,5,0,0.0,167,0.0,26,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,33,48,43,5,0,0.0,167,0.0,287,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,33,48,43,5,0,0.0,167,0.0,248,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,33,48,43,5,0,0.0,167,0.0,150,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,33,48,43,5,0,0.0,167,0.0,85,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,33,48,43,5,0,0.0,167,0.0,51,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,33,48,43,5,0,0.0,167,0.0,29,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,33,48,43,5,0,0.0,167,0.0,80,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,33,48,43,5,0,0.0,167,0.0,145,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,248,351,349,2,0,18672.0,318,8.0,683,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,248,351,349,2,0,18672.0,318,1786.0,638,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,248,351,349,2,0,18672.0,318,242.0,647,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,248,351,349,2,0,18672.0,318,0.0,1545,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,248,351,349,2,0,18672.0,318,1920.0,549,,,,,,,,,,,,,,
