algorithm,mu,mut_prob,mut_std,temp,alpha,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,lambda_,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,mut_indpb,phi1,phi2,smin,smax,weight
MuPlusLambda,200.0,,,,,0.0,356,645,643,2,0,25585.0,440,10296.0,467,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,356,645,643,2,0,25585.0,440,0.0,2163,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,356,645,643,2,0,25585.0,440,2599.0,761,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,14,18,14,4,0,0.0,167,0.0,141,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,14,18,14,4,0,0.0,167,0.0,25,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,14,18,14,4,0,0.0,167,0.0,346,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,14,18,14,4,0,0.0,167,0.0,25,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,14,18,14,4,0,0.0,167,0.0,40,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,28,32,29,3,0,0.0,171,0.0,33,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,28,32,29,3,0,0.0,171,0.0,74,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,28,32,29,3,0,0.0,171,0.0,277,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,28,32,29,3,0,0.0,171,0.0,168,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,28,32,29,3,0,0.0,171,0.0,57,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,362,410,401,9,0,5942.0,326,203.0,284,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,362,410,401,9,0,5942.0,326,0.0,431,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,362,410,401,9,0,5942.0,326,0.0,381,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,362,410,401,9,0,5942.0,326,0.0,496,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,362,410,401,9,0,5942.0,326,0.0,806,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,480,906,895,11,0,527.0,647,671.0,609,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,480,906,895,11,0,527.0,647,0.0,1003,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,480,906,895,11,0,527.0,647,0.0,885,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,480,906,895,11,0,527.0,647,0.0,738,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,480,906,895,11,0,527.0,647,0.0,707,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,276,456,449,7,0,1499.0,542,0.0,689,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,276,456,449,7,0,1499.0,542,0.0,719,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,276,456,449,7,0,1499.0,542,0.0,1173,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,276,456,449,7,0,1499.0,542,231.0,480,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,276,456,449,7,0,1499.0,542,0.0,601,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,88,140,126,14,0,0.0,249,0.0,295,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,88,140,126,14,0,0.0,249,1.0,154,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,88,140,126,14,0,0.0,249,0.0,212,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,88,140,126,14,0,0.0,249,0.0,313,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,88,140,126,14,0,0.0,249,0.0,414,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,343,399,386,13,0,1740.0,357,0.0,458,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,343,399,386,13,0,1740.0,357,0.0,650,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,343,399,386,13,0,1740.0,357,187.0,305,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,343,399,386,13,0,1740.0,357,0.0,386,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,343,399,386,13,0,1740.0,357,0.0,469,10.0,,,,,,,0.5,,,,,
PlantPropagation,200.0,,2.0,,,1.0,447,484,480,4,0,39523.0,662,6405.0,870,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,447,484,480,4,0,39523.0,662,3667.0,1030,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,447,484,480,4,0,39523.0,662,8783.0,613,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,447,484,480,4,0,39523.0,662,5542.0,826,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,447,484,480,4,0,39523.0,662,443.0,1925,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,310,469,451,18,0,40.0,485,0.0,452,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,310,469,451,18,0,40.0,485,130.0,406,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,310,469,451,18,0,40.0,485,0.0,563,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,310,469,451,18,0,40.0,485,0.0,570,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,310,469,451,18,0,40.0,485,0.0,684,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,11,20,11,9,0,0.0,215,0.0,22,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,11,20,11,9,0,0.0,215,0.0,359,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,11,20,11,9,0,0.0,215,0.0,139,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,11,20,11,9,0,0.0,215,0.0,23,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,11,20,11,9,0,0.0,215,0.0,40,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,163,297,296,1,0,5190.0,322,0.0,433,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,163,297,296,1,0,5190.0,322,0.0,468,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,163,297,296,1,0,5190.0,322,65.0,534,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,163,297,296,1,0,5190.0,322,1346.0,342,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,163,297,296,1,0,5190.0,322,0.0,814,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,78,110,107,3,0,404.0,281,0.0,300,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,78,110,107,3,0,404.0,281,5.0,209,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,78,110,107,3,0,404.0,281,0.0,250,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,78,110,107,3,0,404.0,281,0.0,349,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,78,110,107,3,0,404.0,281,0.0,425,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,11,19,8,11,0,0.0,43,0.0,9,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,11,19,8,11,0,0.0,43,0.0,160,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,11,19,8,11,0,0.0,43,0.0,36,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,11,19,8,11,0,0.0,43,0.0,6,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,11,19,8,11,0,0.0,43,0.0,6,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,175,252,245,7,0,146.0,472,13.0,428,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,175,252,245,7,0,146.0,472,0.0,669,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,175,252,245,7,0,146.0,472,0.0,449,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,175,252,245,7,0,146.0,472,0.0,539,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,175,252,245,7,0,146.0,472,0.0,661,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,67,113,96,17,0,0.0,307,0.0,523,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,67,113,96,17,0,0.0,307,0.0,252,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,67,113,96,17,0,0.0,307,0.0,237,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,67,113,96,17,0,0.0,307,0.0,354,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,67,113,96,17,0,0.0,307,0.0,260,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,291,498,488,10,0,227.0,730,202.0,633,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,291,498,488,10,0,227.0,730,0.0,728,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,291,498,488,10,0,227.0,730,0.0,873,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,291,498,488,10,0,227.0,730,0.0,863,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,291,498,488,10,0,227.0,730,0.0,958,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,363,411,401,10,0,7012.0,349,0.0,437,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,363,411,401,10,0,7012.0,349,0.0,453,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,363,411,401,10,0,7012.0,349,0.0,700,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,363,411,401,10,0,7012.0,349,244.0,299,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,363,411,401,10,0,7012.0,349,0.0,373,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
ParticleSwarm,200.0,,,,,1.0,127,199,191,8,0,0.0,420,0.0,420,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,127,199,191,8,0,0.0,420,0.0,677,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,127,199,191,8,0,0.0,420,0.0,500,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,127,199,191,8,0,0.0,420,0.0,368,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,127,199,191,8,0,0.0,420,0.0,468,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,419,460,455,5,0,37581.0,351,1532.0,659,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,419,460,455,5,0,37581.0,351,4.0,2069,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,419,460,455,5,0,37581.0,351,2342.0,617,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,419,460,455,5,0,37581.0,351,4315.0,706,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,419,460,455,5,0,37581.0,351,5843.0,307,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
MuPlusLambda,200.0,,,,,0.0,386,677,668,9,0,1013.0,361,317.0,304,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,386,677,668,9,0,1013.0,361,0.0,452,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,386,677,668,9,0,1013.0,361,0.0,492,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,386,677,668,9,0,1013.0,361,0.0,584,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,386,677,668,9,0,1013.0,361,0.0,812,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,173,301,294,7,0,897.0,292,115.0,272,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,173,301,294,7,0,897.0,292,0.0,1201,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,173,301,294,7,0,897.0,292,48.0,460,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,173,301,294,7,0,897.0,292,1179.0,452,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,173,301,294,7,0,897.0,292,0.0,371,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,174,180,170,10,0,3726.0,268,152.0,441,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,174,180,170,10,0,3726.0,268,241.0,1087,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,174,180,170,10,0,3726.0,268,71.0,474,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,174,180,170,10,0,3726.0,268,789.0,431,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,174,180,170,10,0,3726.0,268,986.0,300,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,152,268,257,11,0,0.0,227,0.0,265,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,152,268,257,11,0,0.0,227,0.0,464,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,152,268,257,11,0,0.0,227,0.0,320,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,152,268,257,11,0,0.0,227,38.0,182,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,152,268,257,11,0,0.0,227,0.0,215,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,334,564,558,6,0,1820.0,677,0.0,879,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,334,564,558,6,0,1820.0,677,335.0,537,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,334,564,558,6,0,1820.0,677,0.0,776,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,334,564,558,6,0,1820.0,677,0.0,611,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,334,564,558,6,0,1820.0,677,0.0,784,10.0,,,,,,,0.5,,,,,
PlantPropagation,200.0,,2.0,,,1.0,412,732,730,2,0,17802.0,542,549.0,730,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,412,732,730,2,0,17802.0,542,1915.0,477,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,412,732,730,2,0,17802.0,542,420.0,767,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,412,732,730,2,0,17802.0,542,14.0,829,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,412,732,730,2,0,17802.0,542,0.0,1844,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,426,462,457,5,0,26150.0,406,237.0,526,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,426,462,457,5,0,26150.0,406,0.0,1623,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,426,462,457,5,0,26150.0,406,510.0,600,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,426,462,457,5,0,26150.0,406,2157.0,307,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,426,462,457,5,0,26150.0,406,733.0,618,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,84,139,134,5,0,3550.0,314,2059.0,2108,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,84,139,134,5,0,3550.0,314,2259.0,1239,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,84,139,134,5,0,3550.0,314,992.0,2497,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,84,139,134,5,0,3550.0,314,1069.0,2417,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,84,139,134,5,0,3550.0,314,3218.0,306,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,487,835,823,12,0,1244.0,459,0.0,623,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,487,835,823,12,0,1244.0,459,1353.0,463,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,487,835,823,12,0,1244.0,459,57.0,623,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,487,835,823,12,0,1244.0,459,0.0,758,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,487,835,823,12,0,1244.0,459,0.0,1102,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,369,545,541,4,0,12217.0,516,812.0,482,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,369,545,541,4,0,12217.0,516,466.0,713,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,369,545,541,4,0,12217.0,516,0.0,773,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,369,545,541,4,0,12217.0,516,28.0,838,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,369,545,541,4,0,12217.0,516,0.0,1794,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,385,635,620,15,0,3049.0,474,923.0,456,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,385,635,620,15,0,3049.0,474,0.0,642,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,385,635,620,15,0,3049.0,474,0.0,1235,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,385,635,620,15,0,3049.0,474,36.0,668,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,385,635,620,15,0,3049.0,474,0.0,619,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,75,83,72,11,0,390.0,180,0.0,162,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,75,83,72,11,0,390.0,180,0.0,161,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,75,83,72,11,0,390.0,180,0.0,223,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,75,83,72,11,0,390.0,180,0.0,402,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,75,83,72,11,0,390.0,180,0.0,143,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,263,421,414,7,0,2190.0,423,0.0,625,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,263,421,414,7,0,2190.0,423,0.0,512,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,263,421,414,7,0,2190.0,423,0.0,491,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,263,421,414,7,0,2190.0,423,190.0,362,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,263,421,414,7,0,2190.0,423,0.0,998,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,444,662,659,3,0,26118.0,475,0.0,1525,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,444,662,659,3,0,26118.0,475,1239.0,817,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,444,662,659,3,0,26118.0,475,2384.0,697,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,444,662,659,3,0,26118.0,475,391.0,793,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,444,662,659,3,0,26118.0,475,6484.0,402,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,253,279,274,5,0,10967.0,196,6.0,423,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,253,279,274,5,0,10967.0,196,0.0,1029,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,253,279,274,5,0,10967.0,196,849.0,201,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,253,279,274,5,0,10967.0,196,0.0,519,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,253,279,274,5,0,10967.0,196,0.0,352,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,413,626,614,12,0,5606.0,349,1052.0,681,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,413,626,614,12,0,5606.0,349,191.0,744,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,413,626,614,12,0,5606.0,349,2598.0,542,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,413,626,614,12,0,5606.0,349,3298.0,359,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,413,626,614,12,0,5606.0,349,543.0,1862,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,438,790,778,12,0,459.0,633,0.0,715,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,438,790,778,12,0,459.0,633,0.0,747,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,438,790,778,12,0,459.0,633,634.0,587,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,438,790,778,12,0,459.0,633,0.0,986,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,438,790,778,12,0,459.0,633,0.0,885,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,74,102,97,5,0,0.0,266,0.0,235,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,74,102,97,5,0,0.0,266,0.0,329,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,74,102,97,5,0,0.0,266,0.0,550,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,74,102,97,5,0,0.0,266,0.0,198,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,74,102,97,5,0,0.0,266,0.0,345,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,139,175,158,17,0,0.0,305,0.0,224,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,139,175,158,17,0,0.0,305,0.0,338,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,139,175,158,17,0,0.0,305,0.0,229,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,139,175,158,17,0,0.0,305,0.0,424,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,139,175,158,17,0,0.0,305,0.0,275,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,112,147,128,19,0,1628.0,283,604.0,1036,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,112,147,128,19,0,1628.0,283,657.0,1269,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,112,147,128,19,0,1628.0,283,1440.0,205,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,112,147,128,19,0,1628.0,283,524.0,1116,,,,,,,,,,,,,
